Frame 270: score=100, sec=10, last=9
Frame 270: score=100, sec=10, last=9
Frame 270: score=100, sec=10, last=9
Frame 270: score=100, sec=10, last=9
Frame 270: score=100, sec=10, last=9
Frame 280: score=100, sec=11, last=9
Frame 280: score=100, sec=11, last=9
Frame 280: score=100, sec=11, last=9
Frame 280: score=100, sec=11, last=9
Frame 280: score=100, sec=11, last=9
Frame 280: score=100, sec=11, last=9
Frame 290: score=100, sec=11, last=9
Frame 290: score=100, sec=11, last=9
Frame 290: score=100, sec=11, last=9
Frame 290: score=100, sec=11, last=9
Frame 290: score=100, sec=11, last=9
Frame 290: score=100, sec=11, last=9
Frame 290: score=100, sec=11, last=9
Frame 300: score=100, sec=12, last=9
    -> TRIGGERING cv2.imencode!!
Frame 300: score=100, sec=12, last=12
Frame 300: score=100, sec=12, last=12
Frame 300: score=100, sec=12, last=12
Frame 300: score=100, sec=12, last=12
Frame 310: score=100, sec=12, last=12
Frame 310: score=100, sec=12, last=12
Frame 310: score=100, sec=12, last=12
Frame 310: score=100, sec=12, last=12
Frame 310: score=100, sec=12, last=12
Frame 310: score=100, sec=12, last=12
Frame 310: score=100, sec=12, last=12
Frame 320: score=100, sec=12, last=12
Frame 320: score=100, sec=12, last=12
Frame 320: score=100, sec=12, last=12
Frame 320: score=100, sec=12, last=12
Frame 320: score=100, sec=12, last=12
Frame 320: score=100, sec=12, last=12
Frame 320: score=100, sec=12, last=12
Frame 330: score=100, sec=13, last=12
Frame 330: score=100, sec=13, last=12
Frame 330: score=100, sec=13, last=12
Frame 330: score=100, sec=13, last=12
Frame 330: score=100, sec=13, last=12
Frame 330: score=100, sec=13, last=12
Frame 340: score=100, sec=13, last=12
Frame 340: score=100, sec=13, last=12
Frame 340: score=100, sec=13, last=12
Frame 340: score=100, sec=13, last=12
Frame 340: score=100, sec=13, last=12
Frame 10: score=100, sec=0, last=-5
    -> TRIGGERING cv2.imencode!!
Frame 20: score=100, sec=0, last=0
Frame 20: score=100, sec=0, last=0
Frame 30: score=100, sec=1, last=0
Frame 30: score=100, sec=1, last=0
Frame 30: score=100, sec=1, last=0
Frame 40: score=100, sec=1, last=0
Frame 40: score=100, sec=1, last=0
Frame 40: score=100, sec=1, last=0
Frame 50: score=100, sec=2, last=0
Frame 50: score=100, sec=2, last=0
Frame 50: score=100, sec=2, last=0
Frame 60: score=100, sec=2, last=0
Frame 60: score=100, sec=2, last=0
Frame 60: score=100, sec=2, last=0
Frame 70: score=100, sec=2, last=0
Frame 70: score=100, sec=2, last=0
Frame 70: score=100, sec=2, last=0
Frame 80: score=100, sec=3, last=0
    -> TRIGGERING cv2.imencode!!
Frame 90: score=100, sec=3, last=3
Frame 100: score=100, sec=4, last=3
Frame 100: score=100, sec=4, last=3
Frame 100: score=100, sec=4, last=3
Frame 110: score=100, sec=4, last=3
Frame 110: score=100, sec=4, last=3
Frame 110: score=100, sec=4, last=3
Frame 110: score=100, sec=4, last=3
Frame 110: score=100, sec=4, last=3
Frame 110: score=100, sec=4, last=3
Frame 120: score=100, sec=4, last=3
Frame 120: score=100, sec=4, last=3
Frame 120: score=100, sec=4, last=3
Frame 120: score=100, sec=4, last=3
Frame 120: score=100, sec=4, last=3
Frame 120: score=100, sec=4, last=3
Frame 130: score=100, sec=5, last=3
Frame 130: score=100, sec=5, last=3
Frame 130: score=100, sec=5, last=3
Frame 130: score=100, sec=5, last=3
Frame 130: score=100, sec=5, last=3
Frame 130: score=100, sec=5, last=3
Frame 140: score=100, sec=5, last=3
Frame 140: score=100, sec=5, last=3
Frame 140: score=100, sec=5, last=3
Frame 140: score=100, sec=5, last=3
Frame 140: score=100, sec=5, last=3
Frame 140: score=100, sec=5, last=3
Frame 150: score=100, sec=6, last=3
    -> TRIGGERING cv2.imencode!!
Frame 150: score=100, sec=6, last=6
Frame 150: score=100, sec=6, last=6
Frame 150: score=100, sec=6, last=6
Frame 150: score=100, sec=6, last=6
Frame 150: score=100, sec=6, last=6
Frame 160: score=100, sec=6, last=6
Frame 160: score=100, sec=6, last=6
Frame 160: score=100, sec=6, last=6
Frame 160: score=100, sec=6, last=6
Frame 160: score=100, sec=6, last=6
Frame 160: score=100, sec=6, last=6
Frame 170: score=100, sec=6, last=6
Frame 170: score=100, sec=6, last=6
Frame 170: score=100, sec=6, last=6
Frame 170: score=100, sec=6, last=6
Frame 170: score=100, sec=6, last=6
Frame 170: score=100, sec=6, last=6
Frame 180: score=100, sec=7, last=6
Frame 180: score=100, sec=7, last=6
Frame 180: score=100, sec=7, last=6
Frame 180: score=100, sec=7, last=6
Frame 180: score=100, sec=7, last=6
Frame 180: score=100, sec=7, last=6
Frame 180: score=100, sec=7, last=6
Frame 180: score=100, sec=7, last=6
Frame 190: score=100, sec=7, last=6
Frame 190: score=100, sec=7, last=6
Frame 190: score=100, sec=7, last=6
Frame 190: score=100, sec=7, last=6
Frame 190: score=100, sec=7, last=6
Frame 190: score=100, sec=7, last=6
Frame 200: score=100, sec=8, last=6
Frame 200: score=100, sec=8, last=6
Frame 200: score=100, sec=8, last=6
Frame 200: score=100, sec=8, last=6
Frame 200: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 210: score=100, sec=8, last=6
Frame 220: score=100, sec=8, last=6
Frame 220: score=100, sec=8, last=6
Frame 220: score=100, sec=8, last=6
Frame 220: score=100, sec=8, last=6
Frame 220: score=100, sec=8, last=6
Frame 220: score=100, sec=8, last=6
Frame 220: score=100, sec=8, last=6
Frame 230: score=100, sec=9, last=6
    -> TRIGGERING cv2.imencode!!
Frame 230: score=100, sec=9, last=9
Frame 230: score=100, sec=9, last=9
Frame 230: score=100, sec=9, last=9
Frame 230: score=100, sec=9, last=9
Frame 230: score=100, sec=9, last=9
Frame 230: score=100, sec=9, last=9
Frame 240: score=100, sec=9, last=9
Frame 240: score=100, sec=9, last=9
Frame 240: score=100, sec=9, last=9
Frame 240: score=100, sec=9, last=9
Frame 240: score=100, sec=9, last=9
Frame 240: score=100, sec=9, last=9
Frame 240: score=100, sec=9, last=9
Frame 250: score=100, sec=10, last=9
Frame 250: score=100, sec=10, last=9
Frame 250: score=100, sec=10, last=9
Frame 250: score=100, sec=10, last=9
Frame 250: score=100, sec=10, last=9
Frame 250: score=100, sec=10, last=9
Frame 250: score=100, sec=10, last=9
Frame 250: score=100, sec=10, last=9
Frame 260: score=100, sec=10, last=9
Frame 260: score=100, sec=10, last=9
Frame 260: score=100, sec=10, last=9
Frame 260: score=100, sec=10, last=9
Frame 260: score=100, sec=10, last=9
Frame 260: score=100, sec=10, last=9
Frame 260: score=100, sec=10, last=9
Frame 270: score=100, sec=10, last=9
